Name,L_gp,R_gp,Thick_gp,SFP_Loc,SFP_Len,Thick_sfp,Oxide_Thick,BV,Leakage_2,Cgd_2,Leakage,Cgg,Cgs,Cds,Cgd,Vti
L_4_R_12_Nb_1_,0.4,1.2,0.2,0.0,0.0,0.0,0.0,199.508,1.236,121.0,-0.001236,1.99e-07,-7.77e-08,3.34e-09,-1.21e-07,-2.827
L_4_R_4_Nb_1_,0.4,0.4,0.2,0.0,0.0,0.0,0.0,85.108,4.601,77.5,-0.004601,1.55e-07,-7.75e-08,2.61e-09,-7.75e-08,-2.827
L_4_R_8_Nb_1_,0.4,0.8,0.2,0.0,0.0,0.0,0.0,133.988,2.623,98.8,-0.002623,1.77e-07,-7.77e-08,2.98e-09,-9.88e-08,-2.802
L_4_R_4_Th_4_Nb_1,0.4,0.4,0.4,0.0,0.0,0.0,0.0,256.868,2.145,75.8,-0.002145,1.53e-07,-7.7e-08,1.86e-09,-7.58e-08,-2.844
L_4_R_2_Th_6_Nb_2_Th4_Len_4_Loc_325,0.4,0.2,0.6,3.25,0.4,0.4,0.0,91.908,4.532,65.0,-0.004532,1.42e-07,-7.68e-08,-3.76e-08,-6.5e-08,-2.845
L_4_R_2_Th_6_Nb_2_Th4_Len_8_Loc_235,0.4,0.2,0.6,2.35,0.8,0.4,0.0,206.548,3.28,63.0,-0.00328,1.46e-07,-8.28e-08,-5.34e-08,-6.3e-08,-2.845
L_4_R_2_Th_6_Nb_2_Th4_Len_12_Loc_235,0.4,0.2,0.6,2.35,1.2,0.4,0.0,108.55,3.205,63.0,-0.003205,1.46e-07,-8.28e-08,-7.73e-08,-6.3e-08,-2.845
L_4_R_2_Th_6_Nb_2_Th6_Len_4_Loc_325,0.4,0.2,0.6,3.25,0.4,0.6,0.0,91.988,4.534,64.9,-0.004534,1.42e-07,-7.68e-08,-3.77e-08,-6.49e-08,-2.845
L_4_R_2_Th_6_Nb_2_Th6_Len_8_Loc_235,0.4,0.2,0.6,2.35,0.8,0.6,0.0,205.108,3.282,63.0,-0.003282,1.47e-07,-8.44e-08,-5.35e-08,-6.3e-08,-2.845
L_4_R_2_Th_2_Nb_1,0.4,0.2,0.2,0.0,0.0,0.0,0.0,70.068,3.483,61.9,-0.003483,1.35e-07,-7.34e-08,-5.31e-11,-6.19e-08,-2.827
L_4_R_2_Th_2_Nb_2_Th2_Len_4_Loc_235,0.4,0.2,0.2,2.35,0.4,0.2,0.0,232.148,2.34,60.1,-0.00234,1.37e-07,-7.65e-08,-3.37e-08,-6.01e-08,-2.827
L_4_R_2_Th_2_Nb_2_Th4_Len_4_Loc_235,0.4,0.2,0.2,2.35,0.4,0.4,0.0,232.148,2.34,60.0,-0.00234,1.37e-07,-7.72e-08,-3.39e-08,-6e-08,-2.827
L_4_R_2_Th_2_Nb_2_Th6_Len_4_Loc_235,0.4,0.2,0.2,2.35,0.4,0.6,0.0,121.908,6.925,60.5,-0.006925,1.38e-07,-7.74e-08,-3.36e-08,-6.05e-08,-2.829
L_4_R_2_Th_2_Nb_2_Th2_Len_4_Loc_265,0.4,0.2,0.2,2.65,0.4,0.2,0.0,186.228,3.029,61.5,-0.003029,1.35e-07,-7.38e-08,-3.52e-08,-6.15e-08,-2.827
L_4_R_2_Th_2_Nb_2_Th4_Len_4_Loc_265,0.4,0.2,0.2,2.65,0.4,0.4,0.0,187.348,3.015,61.5,-0.003015,1.35e-07,-7.39e-08,-3.55e-08,-6.15e-08,-2.827
